,index,id,date,time,user_id,username,name,tweet,language,link,EYD,remove_stopword,Stemming,Token,label
10,10,1.64e+18,3/21/2023,22:21:53,1.14e+18,sandy70927973,Sandy,mntp sih gubernur bali emg paling the best tampan dan pemberani mulai dari bule bikin petisi berisik denger ayam bule2 bawa motor ga pake helm penanganan yang sempurna,in,https://twitter.com/Sandy70927973/status/1638199254467645440,mantap sih gubernur bali memang paling the best tampan dan pemberani mulai dari bule bikin petisi berisik dengar ayam bule2 bawa motor tidak pakai helm penanganan yang sempurna,mantap gubernur bali the best tampan pemberani bule bikin petisi berisik dengar ayam bule2 bawa motor pakai helm penanganan sempurna,mantap gubernur bali the best tampan berani bule bikin petisi berisik dengar ayam bule2 bawa motor pakai helm tangan sempurna,"['mantap', 'gubernur', 'bali', 'the', 'best', 'tampan', 'berani', 'bule', 'bikin', 'petisi', 'berisik', 'dengar', 'ayam', 'bule2', 'bawa', 'motor', 'pakai', 'helm', 'tangan', 'sempurna']",1
11,11,1.64e+18,3/21/2023,22:02:06,1.19e+18,sionjntk10,sionadm1075,artis hollywood sekelas chris hemsworth aja masi bisa menghargai aturan di bali naik motor pake helm ini turis2 bule yg bukan siapa2 songong ny setengah mati hadehh,in,https://twitter.com/sionjntk10/status/1638194277678473218,artis hollywood sekelas chris hemsworth saja masih bisa menghargai aturan di bali naik motor pakai helm ini turis2 bule yang bukan siapa siapa songong nya setengah mati aduh,artis hollywood sekelas chris hemsworth menghargai aturan bali motor pakai helm turis2 bule songong mati aduh,artis hollywood kelas chris hemsworth harga atur bali motor pakai helm turis2 bule songong mati aduh,"['artis', 'hollywood', 'kelas', 'chris', 'hemsworth', 'harga', 'atur', 'bali', 'motor', 'pakai', 'helm', 'turis2', 'bule', 'songong', 'mati', 'aduh']",1
12,12,1.64e+18,3/21/2023,20:42:34,1.27e+18,lamberesing,#LAMRES3TAHUN,bule di bali naik motor pake helm,in,https://twitter.com/LambeResing/status/1638174260312309760,bule di bali naik motor pakai helm,bule bali motor pakai helm,bule bali motor pakai helm,"['bule', 'bali', 'motor', 'pakai', 'helm']",1
13,13,1.64e+18,3/21/2023,19:48:38,8.95e+17,kakakjoolid,Krishna,baru sampe di bali udh langsung liat bule naik motor ga pake baju dan helm diusir dari bandara,in,https://twitter.com/kakakjoolid/status/1638160690396680194,baru sampai di bali sudah langsung lihat bule naik motor tidak pakai baju dan helm diusir dari bandara,bali langsung lihat bule motor pakai baju helm diusir bandara,bali langsung lihat bule motor pakai baju helm usir bandara,"['bali', 'langsung', 'lihat', 'bule', 'motor', 'pakai', 'baju', 'helm', 'usir', 'bandara']",0
14,14,1.64e+18,3/21/2023,18:38:19,1.17e+18,m_tarsiana,MTomat,thor pake helm di bali contoh nih buat bule bule yg naik motor tapi ga pake helm ,in,https://twitter.com/m_tarsiana/status/1638142993269157888,thor pakai helm di bali contoh nih buat bule bule yang naik motor tapi tidak pakai helm ,thor pakai helm bali contoh bule bule motor pakai helm,thor pakai helm bali contoh bule bule motor pakai helm,"['thor', 'pakai', 'helm', 'bali', 'contoh', 'bule', 'bule', 'motor', 'pakai', 'helm']",1
15,15,1.64e+18,3/21/2023,15:49:04,551767154.0,lebowskyyy,Big Lebowsky,heboh banget liat bule gk pake helm di jakarta juga banyak local gk pake helm intinya peraturan ya peraturan diikutin aja local maupun turis,in,https://twitter.com/Lebowskyyy/status/1638100400514408451,heboh banget lihat bule tidak pakai helm di jakarta juga banyak lokal tidak pakai helm intinya peraturan ya peraturan diikuti saja lokal maupun turis,heboh lihat bule pakai helm jakarta lokal pakai helm intinya peraturan ya peraturan diikuti lokal turis,heboh lihat bule pakai helm jakarta lokal pakai helm inti atur ya atur ikut lokal turis,"['heboh', 'lihat', 'bule', 'pakai', 'helm', 'jakarta', 'lokal', 'pakai', 'helm', 'inti', 'atur', 'ya', 'atur', 'ikut', 'lokal', 'turis']",0
16,16,1.64e+18,3/21/2023,14:30:12,1.1e+18,100kpjcom,100kpjcom,pemandangan turis asing mengendarai sepeda motor menjadi makanan sehari hari di bali sayangnya banyak mereka yang melanggar aturan lintas dengan tidak menggunakan helm sebagai pelindung kepala selengkapnya ___,in,https://twitter.com/100kpjcom/status/1638080554129059842,pemandangan turis asing mengendarai sepeda motor menjadi makanan sehari hari di bali sayangnya banyak mereka yang melanggar aturan lintas dengan tidak menggunakan helm sebagai pelindung kepala selengkapnya ___,pemandangan turis asing mengendarai sepeda motor makanan sehari bali sayangnya melanggar aturan lintas helm pelindung kepala selengkapnya ___,pandang turis asing kendara sepeda motor makan hari bali sayang langgar atur lintas helm lindung kepala lengkap,"['pandang', 'turis', 'asing', 'kendara', 'sepeda', 'motor', 'makan', 'hari', 'bali', 'sayang', 'langgar', 'atur', 'lintas', 'helm', 'lindung', 'kepala', 'lengkap']",0
17,17,1.64e+18,3/21/2023,13:43:04,1382253470.0,shakestree,Trik,gini kek modelan bule yg ke bali naik motor minimal pakai helm gt ,in,https://twitter.com/shakestree/status/1638068692968931330,begini kayak modelan bule yang ke bali naik motor minimal pakai helm begitu ,modelan bule bali motor minimal pakai helm,model bule bali motor minimal pakai helm,"['model', 'bule', 'bali', 'motor', 'minimal', 'pakai', 'helm']",1
18,18,1.64e+18,3/21/2023,13:40:01,1.33e+18,emptyfah,________,ya lagian di bali tuh polisi aja gada di jalanan buat atur lalin bule gapakai helm gmn tuh turis asing mau appreciate our law klo pihak yg berwenang aja diemin ya tau turis sumber devisa negara tp setidaknya kita buat negara kita di seganin kan bisa,in,https://twitter.com/emptyfah/status/1638067924966727680,ya lagian di bali itu polisi saja tidak ada di jalanan buat atur lalu lintas bule gapakai helm bagaimana itu turis asing mau appreciate our law kalau pihak yang berwenang saja diamkan ya tau turis sumber devisa negara tetapi setidaknya kita buat negara kita di seganin kan bisa,ya bali polisi jalanan atur lintas bule gapakai helm turis asing appreciate our law berwenang diamkan ya turis sumber devisa negara negara seganin,ya bali polisi jalan atur lintas bule gapakai helm turis asing appreciate our law wenang diam ya turis sumber devisa negara negara seganin,"['ya', 'bali', 'polisi', 'jalan', 'atur', 'lintas', 'bule', 'gapakai', 'helm', 'turis', 'asing', 'appreciate', 'our', 'law', 'w', 'enang', 'diam', 'ya', 'turis', 'sumber', 'devisa', 'negara', 'negara', 'seganin']",0
19,19,1.64e+18,3/21/2023,12:35:12,538972199.0,gilafilmid,GilaFilmID,hal yg menarik perhatian mingil lihat video liburan chris hemsworth di bali dia bawa motornya pake helm sblm nyampe ke video ini lihat video bule nantang pecalang kemaren lihat video bule gak terima ditilang krn gak pake helm,in,https://twitter.com/GilaFilmID/status/1638051611510718464,hal yang menarik perhatian mingil lihat video liburan chris hemsworth di bali dia bawa motornya pakai helm sebelum sampai ke video ini lihat video bule menantang pecalang kemarin lihat video bule tidak terima ditilang karena tidak pakai helm,menarik perhatian mingil lihat video liburan chris hemsworth bali bawa motornya pakai helm video lihat video bule menantang pecalang kemarin lihat video bule terima ditilang pakai helm,tarik perhati mingil lihat video libur chris hemsworth bali bawa motor pakai helm video lihat video bule tantang calang kemarin lihat video bule terima tilang pakai helm,"['tarik', 'perhati', 'mingil', 'lihat', 'video', 'libur', 'chris', 'hemsworth', 'bali', 'bawa', 'motor', 'pakai', 'helm', 'video', 'lihat', 'video', 'bule', 'tantang', 'calang', 'kemarin', 'lihat', 'video', 'bule', 'terima', 'tilang', 'pakai', 'helm']",1
20,20,1.64e+18,3/21/2023,11:17:55,1.55e+18,ryz8888,Ryz,malah di bali bebas ga pake helm pihak imigrasi menghimbau masyarakat ga boleh memviralkan bule bule yg ga pake helm pantes negeri ni susah majunya sampe sekarang masih di bawah jajahan ,in,https://twitter.com/ryz8888/status/1638032161487060992,malah di bali bebas tidak pakai helm pihak imigrasi mengimbau masyarakat tidak boleh memviralkan bule bule yang tidak pakai helm pantas negeri nih susah majunya sampai sekarang masih di bawah jajahan ,bali bebas pakai helm imigrasi menghimbau masyarakat memviralkan bule bule pakai helm negeri susah majunya jajahan,bali bebas pakai helm imigrasi himbau masyarakat memviralkan bule bule pakai helm negeri susah maju jajah,"['bali', 'bebas', 'pakai', 'helm', 'imigrasi', 'himbau', 'masyarakat', 'memviralkan', 'bule', 'bule', 'pakai', 'helm', 'negeri', 'susah', 'maju', 'jajah']",0
21,21,1.64e+18,3/21/2023,10:58:28,1.37e+18,glocpy,Sugar Babby nya Elon 🔞,thor in bali bule helm am naik n max,in,https://twitter.com/glocpy/status/1638027269208932352,thor in bali bule helm am naik dan max,thor in bali bule helm am max,thor in bali bule helm am max,"['thor', 'in', 'bali', 'bule', 'helm', 'am', 'max']",1
22,22,1.64e+18,3/21/2023,10:53:05,1.22e+18,nyaiibubu,🌸Bebeb Bubu🌸,thor in bali aja mau pakai helm amp naik n max guys masa bule russky ngerusuh doang pada di deportasi tuh thanks chris hemsworth pothok ganteng sudah jadi bule taat aturan enjoy your vacation also hari raya nyepi tomorow morningg and lapyu all,in,https://twitter.com/NyaiiBubu/status/1638025911638560770,thor in bali saja mau pakai helm amp naik dan max guys masa bule russky ngerusuh doang pada di deportasi itu terima kasih chris hemsworth pothok ganteng sudah jadi bule taat aturan enjoy your vacation also hari raya nyepi tomorow morningg and lapyu all,thor in bali pakai helm amp max guys bule russky ngerusuh doang deportasi terima kasih chris hemsworth pothok ganteng bule taat aturan enjoy your vacation also raya nyepi tomorow morningg and lapyu all,thor in bali pakai helm amp max guys bule russky ngerusuh doang deportasi terima kasih chris hemsworth pothok ganteng bule taat atur enjoy your vacation also raya nyepi tomorow morningg and lapyu all,"['thor', 'in', 'bali', 'pakai', 'helm', 'amp', 'max', 'guys', 'bule', 'russky', 'ngerusuh', 'doang', 'deportasi', 'terima', 'kasih', 'chris', 'hemsworth', 'pothok', 'ganteng', 'bule', 'taat', 'atur', 'enjoy', 'your', 'vacation', 'also', 'raya', 'nyepi', 'tomorow', 'morningg', 'and', 'lapyu', 'all']",1
23,23,1.64e+18,3/21/2023,9:38:07,41730943.0,vivacoid,VivaCoid,gara gara ini ratusan bule di bali enggan pakai helm,in,https://twitter.com/VIVAcoid/status/1638007047345307653,gara gara ini ratusan bule di bali enggan pakai helm,gara gara ratusan bule bali enggan pakai helm,gara gara ratus bule bali enggan pakai helm,"['gara', 'gara', 'ratus', 'bule', 'bali', 'enggan', 'pakai', 'helm']",0
24,24,1.64e+18,3/21/2023,7:17:12,1.09e+18,itsmefayy,fiaa ४,alhamdulillah pake helm trims chris suda menjadi bule taat aturan di bali,in,https://twitter.com/itsmefayy/status/1637971585758818306,alhamdulillah pakai helm terima kasih chris sudah menjadi bule taat aturan di bali,alhamdulillah pakai helm terima kasih chris bule taat aturan bali,alhamdulillah pakai helm terima kasih chris bule taat atur bali,"['alhamdulillah', 'pakai', 'helm', 'terima', 'kasih', 'chris', 'bule', 'taat', 'atur', 'bali']",1
25,25,1.64e+18,3/21/2023,5:38:10,311395230.0,yudawputra,mas Yuda,masyrakat pd teriak ayo tegas sama bule tangkap mereka yg bandel pdhl yg menarik dr si bule ini ketika dihentikan polisi dia bilang kenapa org lokal bali kalau gak pake helm gak ditangkap kenapa hanya kami nah org akan mengikuti kebiasaan dimana mereka berada,in,https://twitter.com/yudawputra/status/1637946662713970688,masyarakat pada teriak ayo tegas sama bule tangkap mereka yang bandel padahal yang menarik dari sih bule ini ketika dihentikan polisi dia bilang kenapa orang lokal bali kalau tidak pakai helm tidak ditangkap kenapa hanya kami nah orang akan mengikuti kebiasaan dimana mereka berada,masyarakat teriak ayo bule tangkap bandel menarik bule dihentikan polisi bilang orang lokal bali pakai helm ditangkap orang mengikuti kebiasaan dimana,masyarakat teriak ayo bule tangkap bandel tarik bule henti polisi bilang orang lokal bali pakai helm tangkap orang ikut biasa mana,"['masyarakat', 'teriak', 'ayo', 'bule', 'tangkap', 'bandel', 'tarik', 'bule', 'henti', 'polisi', 'bilang', 'orang', 'lokal', 'bali', 'pakai', 'helm', 'tangkap', 'orang', 'ikut', 'biasa', 'mana']",1
26,26,1.64e+18,3/20/2023,22:54:27,83657583.0,acux_,Irman pasaribu,makin hari makin banyak aja bule di bali begini klo gk pake helm ya lawan polisi dan ini sok hebat di negara org ckck ,in,https://twitter.com/Acux_/status/1637845064838963201,makin hari makin banyak saja bule di bali begini kalau tidak pakai helm ya lawan polisi dan ini sok hebat di negara orang wkwk ,bule bali pakai helm ya lawan polisi sok hebat negara orang wkwk,bule bali pakai helm ya lawan polisi sok hebat negara orang wkwk,"['bule', 'bali', 'pakai', 'helm', 'ya', 'lawan', 'polisi', 'sok', 'hebat', 'negara', 'orang', 'w', 'kwk']",0
27,27,1.64e+18,3/18/2023,12:45:22,1.35e+18,levi85094302,Levi,lingkungan mempengaruhi hidup manusia orang indo ke singapura aja bisa disiplin sma aja dgn bule mslh motor kdg heran nyewa motor di bali tpi gk di kasih helm ktnya si pemilik rental si gpp karna di bali aman aplgi di pinggiran aplgi bule kan jelas iya2 aja wkwkw,in,https://twitter.com/Levi85094302/status/1636967005772455937,lingkungan mempengaruhi hidup manusia orang indonesia ke singapura saja bisa disiplin sama saja dengan bule masalah motor kadang heran menyewa motor di bali tetapi tidak di kasih helm katanya sih pemilik rental sih tidak apa apa karena di bali aman apa lagi di pinggiran apa lagi bule kan jelas iya2 saja wkwk,lingkungan mempengaruhi hidup manusia orang indonesia singapura disiplin bule motor kadang heran menyewa motor bali kasih helm pemilik rental bali aman pinggiran bule iya2 wkwk,lingkung pengaruh hidup manusia orang indonesia singapura disiplin bule motor kadang heran sewa motor bali kasih helm milik rental bali aman pinggir bule iya2 wkwk,"['lingkung', 'pengaruh', 'hidup', 'manusia', 'orang', 'indonesia', 'singapura', 'disiplin', 'bule', 'motor', 'kadang', 'heran', 'sewa', 'motor', 'bali', 'kasih', 'helm', 'milik', 'rental', 'bali', 'aman', 'pinggir', 'bule', 'iya2', 'w', 'kwk']",1
28,28,1.64e+18,3/17/2023,18:55:04,117686358.0,otosia,Otosia,seorang bule iri warga lokal bali tak dihentikan polisi meski motoran tanpa helm pahami aturannya biar sama sama sadar begini aturan pemotor wajib mengenakan helm melanggar bakal kena denda lumayan besar,in,https://twitter.com/otosia/status/1636697656176304128,seorang bule iri warga lokal bali tak dihentikan polisi meski motoran tanpa helm pahami aturannya biar sama sama sadar begini aturan pemotor wajib mengenakan helm melanggar bakal kena denda lumayan besar,bule iri warga lokal bali dihentikan polisi motoran helm pahami aturannya sadar aturan pemotor wajib mengenakan helm melanggar kena denda lumayan,bule iri warga lokal bali henti polisi motor helm paham atur sadar atur motor wajib kena helm langgar kena denda lumayan,"['bule', 'iri', 'w', 'arga', 'lokal', 'bali', 'henti', 'polisi', 'motor', 'helm', 'paham', 'atur', 'sadar', 'atur', 'motor', 'w', 'ajib', 'kena', 'helm', 'langgar', 'kena', 'denda', 'lumayan']",1
29,29,1.64e+18,3/17/2023,14:29:36,32917203.0,shandygasella,SG,tadi di hi ketemu bule kebiasaan di bali keknya kebawa sampe jkt motoran boncengan berdua gak pake helm ,in,https://twitter.com/shandygasella/status/1636630850484989953,tadi di hi ketemu bule kebiasaan di bali sepertinya terbawa sampai jakarta motoran boncengan berdua tidak pakai helm ,hi ketemu bule kebiasaan bali terbawa jakarta motoran boncengan berdua pakai helm,hi ketemu bule biasa bali bawa jakarta motor bonceng dua pakai helm,"['hi', 'ketemu', 'bule', 'biasa', 'bali', 'bawa', 'jakarta', 'motor', 'bonceng', 'dua', 'pakai', 'helm']",1
30,30,1.64e+18,3/17/2023,11:00:09,567472100.0,requisitoire,REQnews Official,wna di bali berulah lagi nih sosok lion galban bule viral bentak polisi gegara ditegur gak pakai helm,in,https://twitter.com/requisitoire/status/1636578141727756288,warga negara asing di bali berulah lagi nih sosok lion galban bule viral bentak polisi gara gara ditegur tidak pakai helm,warga negara asing bali berulah sosok lion galban bule viral bentak polisi gara gara ditegur pakai helm,warga negara asing bali ulah sosok lion galban bule viral bentak polisi gara gara tegur pakai helm,"['w', 'arga', 'negara', 'asing', 'bali', 'ulah', 'sosok', 'lion', 'galban', 'bule', 'viral', 'bentak', 'polisi', 'gara', 'gara', 'tegur', 'pakai', 'helm']",0
31,31,1.64e+18,3/17/2023,10:54:48,60816751.0,sigitraharjo86,시 킷 Kangmas Oppa,iya maksud sy dlm memberikan aturan dan sanksi harus dipertimbangkan dengan matang mereka begitu kayaknya jg niru warga lokal deh sy sering ke bali selalu aja liat msh banyak warga lokal g pake helm bule di jogja pake helm tuh krn warga lokal pake helm ,in,https://twitter.com/sigitraharjo86/status/1636576793674268676,iya maksud saya dalam memberikan aturan dan sanksi harus dipertimbangkan dengan matang mereka begitu kayaknya juga meniru warga lokal deh saya sering ke bali selalu saja lihat masih banyak warga lokal tidak pakai helm bule di yoyakarta pakai helm itu karena warga lokal pakai helm ,maksud aturan sanksi dipertimbangkan matang kayaknya meniru warga lokal deh bali lihat warga lokal pakai helm bule yoyakarta pakai helm warga lokal pakai helm,maksud atur sanksi timbang matang kayak tiru warga lokal deh bali lihat warga lokal pakai helm bule yoyakarta pakai helm warga lokal pakai helm,"['maksud', 'atur', 'sanksi', 'timbang', 'matang', 'kayak', 'tiru', 'w', 'arga', 'lokal', 'deh', 'bali', 'lihat', 'w', 'arga', 'lokal', 'pakai', 'helm', 'bule', 'yoyakarta', 'pakai', 'helm', 'w', 'arga', 'lokal', 'pakai', 'helm']",1
32,32,1.64e+18,3/17/2023,7:41:15,1.54e+18,bbeyells,Abeyy,ap yg ak tngkap ni kekny bule ngikutin rakyat bali yg ga pake helm dn mereka ga di tangkap atau di berhentiin makanya ntu bule mikir oke aja ga pake helm,in,https://twitter.com/bbeyells/status/1636528086278885376,apa yang aku tngkap nih kekny bule mengikuti rakyat bali yang tidak pakai helm dan mereka tidak di tangkap atau di berhentiin makanya itu bule pikir oke saja tidak pakai helm,tngkap kekny bule mengikuti rakyat bali pakai helm tangkap berhentiin bule pikir oke pakai helm,tngkap kekny bule ikut rakyat bali pakai helm tangkap berhentiin bule pikir oke pakai helm,"['tngkap', 'kekny', 'bule', 'ikut', 'rakyat', 'bali', 'pakai', 'helm', 'tangkap', 'berhentiin', 'bule', 'pikir', 'oke', 'pakai', 'helm']",1
33,33,1.64e+18,3/16/2023,21:00:58,60816751.0,sigitraharjo86,시 킷 Kangmas Oppa,baik sy justru kaget pas dulu msh sering ke bali warga lokal jarang pake helm sy aj pas pinjem motor sama helm malah dibilang ga pake helm gpp ya dah gimana lg bule nya ya ikut2an ga pake helm dong ,in,https://twitter.com/sigitraharjo86/status/1636366951294578691,baik saya justru kaget pas dulu masih sering ke bali warga lokal jarang pakai helm saya saja pas pinjam motor sama helm malah dibilang tidak pakai helm tidak apa apa ya sudah bagaimana lagi bule nya ya ikut ikutan tidak pakai helm dong ,kaget pas bali warga lokal jarang pakai helm pas pinjam motor helm dibilang pakai helm ya bule ya ikutan pakai helm,kaget pas bali warga lokal jarang pakai helm pas pinjam motor helm bilang pakai helm ya bule ya ikut pakai helm,"['kaget', 'pas', 'bali', 'w', 'arga', 'lokal', 'jarang', 'pakai', 'helm', 'pas', 'pinjam', 'motor', 'helm', 'bilang', 'pakai', 'helm', 'ya', 'bule', 'ya', 'ikut', 'pakai', 'helm']",1
34,34,1.64e+18,3/16/2023,20:54:03,60816751.0,sigitraharjo86,시 킷 Kangmas Oppa,betul coba cek di bali banyak warga lokal ga pake helm ya bule ikut2an dong di jogja magelang bule taat dong pake helm krn warganya jg pake helm ,in,https://twitter.com/sigitraharjo86/status/1636365214223597574,betul coba cek di bali banyak warga lokal tidak pakai helm ya bule ikut ikutan dong di yoyakarta magelang bule taat dong pakai helm karena warganya juga pakai helm ,coba cek bali warga lokal pakai helm ya bule ikutan yoyakarta magelang bule taat pakai helm warganya pakai helm,coba cek bali warga lokal pakai helm ya bule ikut yoyakarta magelang bule taat pakai helm warga pakai helm,"['coba', 'cek', 'bali', 'w', 'arga', 'lokal', 'pakai', 'helm', 'ya', 'bule', 'ikut', 'yoyakarta', 'magelang', 'bule', 'taat', 'pakai', 'helm', 'w', 'arga', 'pakai', 'helm']",1
35,35,1.64e+18,3/16/2023,17:38:13,3166729349.0,mohammad_fadli7,Fadli,di bali lu rental motor dikasih helm kocak emg bule kere belagu aja ,in,https://twitter.com/mohammad_fadli7/status/1636315927951323138,di bali kamu rental motor dikasih helm kocak memang bule kere belaga saja ,bali rental motor dikasih helm kocak bule kere belaga,bali rental motor kasih helm kocak bule kere belaga,"['bali', 'rental', 'motor', 'kasih', 'helm', 'kocak', 'bule', 'kere', 'belaga']",0
36,36,1.64e+18,3/16/2023,16:37:28,1.16e+18,iannendra1,Iannendra,makanya saat saya liat video diatas saya juga mikir si bule ada benernya juga karena memang masyarakat bali yang pake baju adat boleh boleh aja naik motor tanpa memakai helm dan tidak ditilang sama polisi ,in,https://twitter.com/Iannendra1/status/1636300640216555522,makanya saat saya lihat video di atas saya juga pikir sih bule ada benernya juga karena memang masyarakat bali yang pakai baju adat boleh boleh saja naik motor tanpa memakai helm dan tidak ditilang sama polisi ,lihat video pikir bule benernya masyarakat bali pakai baju adat motor memakai helm ditilang polisi,lihat video pikir bule benernya masyarakat bali pakai baju adat motor pakai helm tilang polisi,"['lihat', 'video', 'pikir', 'bule', 'benernya', 'masyarakat', 'bali', 'pakai', 'baju', 'adat', 'motor', 'pakai', 'helm', 'tilang', 'polisi']",1
37,37,1.64e+18,3/16/2023,16:25:36,80543284.0,detikoto,detikoto,ditilang karena tidak pakai baju dan helm bule bali polisi cuma mau uang saya,in,https://twitter.com/detikoto/status/1636297653137833984,ditilang karena tidak pakai baju dan helm bule bali polisi cuma mau uang saya,ditilang pakai baju helm bule bali polisi uang,tilang pakai baju helm bule bali polisi uang,"['tilang', 'pakai', 'baju', 'helm', 'bule', 'bali', 'polisi', 'uang']",0
